Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
england-and-wales,England and Wales,england-and-wales,,0,
northern-ireland,Northern Ireland,northern-ireland,,1,
scotland,Scotland,scotland,,2,
united-kingdom,United Kingdom,united-kingdom,,3,
